"API Access Token","Token di accesso API"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Token di accesso per l'API /private dell'istanza, con o senza il prefisso ""secret-token:""."
"Amount","Importo"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Applicato dopo che il backend Taler conferma il pagamento. Lo stato rimane ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Applicato mentre il cliente sta pagando dal proprio portafoglio Taler, prima della conferma del pagamento."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","URL di base del tuo backend commerciante Taler, es. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Impossibile rimborsare: dati dell'ordine Taler mancanti."
"Debug Logging","Log di debug"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Connessione"
"GNU Taler - Payment Method","GNU Taler - Metodo di pagamento"
"Instance","Istanza"
"Log API requests and responses to var/log/taler.log.","Registra richieste e risposte API in var/log/taler.log."
"Merchant Backend URL","URL del backend commerciante"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID dell'istanza del backend commerciante su cui fatturare. Lasciare vuoto per l'istanza predefinita alla radice del backend."
"No payment found for order.","Nessun pagamento trovato per l'ordine."
"Order #%s at %s","Ordine n. %s su %s"
"Order Status URL","URL stato ordine"
"Order status set to ""%s"" per GNU Taler configuration.","Stato dell'ordine impostato a ""%s"" secondo la configurazione GNU Taler."
"Paid (processing) order status","Stato ordine pagato (processing)"
"Pay URI","URI di pagamento"
"Payment was not completed.","Il pagamento non è stato completato."
"Pending-payment order status","Stato ordine in attesa di pagamento"
"Refund Window (days)","Finestra di rimborso (giorni)"
"Refund for order #%s","Rimborso per l'ordine n. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Finestra di rimborso concessa alla creazione dell'ordine. Una volta scaduta, il backend Taler rifiuta i rimborsi per l'ordine."
"Refunded Total","Totale rimborsato"
"Taler API error: %s","Errore API Taler: %s"
"Taler Order ID","ID ordine Taler"
"Taler connection error: %s","Errore di connessione a Taler: %s"
"Taler: failed to create order. Response: %s","Taler: creazione dell'ordine non riuscita. Risposta: %s"
"The Taler refund deadline for this order has passed.","Il termine per il rimborso Taler di questo ordine è scaduto."
"The configured URL does not point to a Taler merchant backend.","L'URL configurato non punta a un backend commerciante Taler."
"The order is unknown to the Taler merchant backend.","L'ordine è sconosciuto al backend commerciante Taler."
"The refund amount exceeds the amount paid via Taler.","L'importo del rimborso supera l'importo pagato tramite Taler."
"Unable to initialize payment. Please try again.","Impossibile inizializzare il pagamento. Riprova."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Il tuo pagamento non è ancora stato confermato. Se hai completato il pagamento, il tuo ordine verrà elaborato automaticamente non appena il backend Taler lo confermerà."
