"API Access Token","Token de acces API"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Token de acces pentru API-ul /private al instanței, cu sau fără prefixul ""secret-token:""."
"Amount","Sumă"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Se aplică după ce backend-ul Taler confirmă plata. Starea rămâne ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Se aplică în timp ce clientul plătește din portofelul său Taler, înainte de confirmarea plății."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","URL-ul de bază al backend-ului de comerciant Taler, de ex. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Nu se poate rambursa: lipsesc datele comenzii Taler."
"Debug Logging","Jurnalizare de depanare"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Conexiune"
"GNU Taler - Payment Method","GNU Taler - Metodă de plată"
"Instance","Instanță"
"Log API requests and responses to var/log/taler.log.","Înregistrează cererile și răspunsurile API în var/log/taler.log."
"Merchant Backend URL","URL-ul backend-ului de comerciant"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID-ul instanței backend-ului de comerciant pe care se facturează. Lăsați gol pentru instanța implicită din rădăcina backend-ului."
"No payment found for order.","Nu s-a găsit nicio plată pentru comandă."
"Order #%s at %s","Comanda nr. %s la %s"
"Order Status URL","URL-ul stării comenzii"
"Order status set to ""%s"" per GNU Taler configuration.","Starea comenzii a fost setată la ""%s"" conform configurației GNU Taler."
"Paid (processing) order status","Starea comenzii plătite (processing)"
"Pay URI","URI de plată"
"Payment was not completed.","Plata nu a fost finalizată."
"Pending-payment order status","Starea comenzii în așteptarea plății"
"Refund Window (days)","Fereastra de rambursare (zile)"
"Refund for order #%s","Rambursare pentru comanda nr. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Fereastra de rambursare acordată la crearea comenzii. După expirarea acesteia, backend-ul Taler respinge rambursările pentru comandă."
"Refunded Total","Total rambursat"
"Taler API error: %s","Eroare API Taler: %s"
"Taler Order ID","ID-ul comenzii Taler"
"Taler connection error: %s","Eroare de conexiune la Taler: %s"
"Taler: failed to create order. Response: %s","Taler: crearea comenzii a eșuat. Răspuns: %s"
"The Taler refund deadline for this order has passed.","Termenul de rambursare Taler pentru această comandă a expirat."
"The configured URL does not point to a Taler merchant backend.","URL-ul configurat nu indică un backend de comerciant Taler."
"The order is unknown to the Taler merchant backend.","Comanda este necunoscută pentru backend-ul de comerciant Taler."
"The refund amount exceeds the amount paid via Taler.","Suma rambursării depășește suma plătită prin Taler."
"Unable to initialize payment. Please try again.","Plata nu a putut fi inițializată. Încercați din nou."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Plata dvs. nu a fost încă confirmată. Dacă ați finalizat plata, comanda dvs. va fi procesată automat imediat ce backend-ul Taler o confirmă."
