"API Access Token","API-toegangstoken"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Toegangstoken voor de /private-API van de instantie, met of zonder het voorvoegsel ""secret-token:""."
"Amount","Bedrag"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Toegepast nadat de Taler-backend de betaling heeft bevestigd. De status blijft ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Toegepast terwijl de klant betaalt vanuit zijn Taler-portemonnee, voordat de betaling is bevestigd."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Basis-URL van uw Taler-handelaarsbackend, bijv. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Terugbetaling niet mogelijk: Taler-bestelgegevens ontbreken."
"Debug Logging","Debuglogboek"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Verbinding"
"GNU Taler - Payment Method","GNU Taler - Betaalmethode"
"Instance","Instantie"
"Log API requests and responses to var/log/taler.log.","API-verzoeken en -antwoorden vastleggen in var/log/taler.log."
"Merchant Backend URL","URL van handelaarsbackend"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","ID van de handelaarsbackend-instantie waarop wordt gefactureerd. Leeg laten voor de standaardinstantie in de backend-root."
"No payment found for order.","Geen betaling gevonden voor de bestelling."
"Order #%s at %s","Bestelling nr. %s bij %s"
"Order Status URL","URL bestellingsstatus"
"Order status set to ""%s"" per GNU Taler configuration.","Bestellingsstatus ingesteld op ""%s"" volgens de GNU Taler-configuratie."
"Paid (processing) order status","Bestellingsstatus betaald (processing)"
"Pay URI","Betaal-URI"
"Payment was not completed.","De betaling is niet voltooid."
"Pending-payment order status","Bestellingsstatus in afwachting van betaling"
"Refund Window (days)","Terugbetalingstermijn (dagen)"
"Refund for order #%s","Terugbetaling voor bestelling nr. %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Terugbetalingstermijn die bij het aanmaken van de bestelling wordt toegekend. Na afloop weigert de Taler-backend terugbetalingen voor de bestelling."
"Refunded Total","Totaal terugbetaald"
"Taler API error: %s","Taler-API-fout: %s"
"Taler Order ID","Taler-bestelnummer"
"Taler connection error: %s","Taler-verbindingsfout: %s"
"Taler: failed to create order. Response: %s","Taler: bestelling aanmaken mislukt. Antwoord: %s"
"The Taler refund deadline for this order has passed.","De Taler-terugbetalingstermijn voor deze bestelling is verstreken."
"The configured URL does not point to a Taler merchant backend.","De geconfigureerde URL verwijst niet naar een Taler-handelaarsbackend."
"The order is unknown to the Taler merchant backend.","De bestelling is onbekend bij de Taler-handelaarsbackend."
"The refund amount exceeds the amount paid via Taler.","Het terugbetalingsbedrag is hoger dan het via Taler betaalde bedrag."
"Unable to initialize payment. Please try again.","Kan de betaling niet initialiseren. Probeer het opnieuw."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Uw betaling is nog niet bevestigd. Als u de betaling hebt voltooid, wordt uw bestelling automatisch verwerkt zodra de Taler-backend deze bevestigt."
