"API Access Token","API-pääsytunnus"
"Access token for the instance's /private API, with or without the ""secret-token:"" prefix.","Pääsytunnus instanssin /private-API:lle, etuliitteellä ""secret-token:"" tai ilman."
"Amount","Summa"
"Applied after the Taler backend confirms the payment. State remains ""processing"".","Käytetään, kun Taler-taustapalvelu on vahvistanut maksun. Tila pysyy arvossa ""processing""."
"Applied while the customer is paying from their Taler wallet, before the payment is confirmed.","Käytetään, kun asiakas maksaa Taler-lompakostaan, ennen kuin maksu on vahvistettu."
"Base URL of your Taler merchant backend, e.g. https://backend.demo.taler.net","Taler-kauppiastaustapalvelusi perus-URL, esim. https://backend.demo.taler.net"
"Cannot refund: missing Taler order data.","Hyvitys ei onnistu: Taler-tilauksen tiedot puuttuvat."
"Debug Logging","Vianetsintäloki"
"GNU Taler","GNU Taler"
"GNU Taler - Connection","GNU Taler - Yhteys"
"GNU Taler - Payment Method","GNU Taler - Maksutapa"
"Instance","Instanssi"
"Log API requests and responses to var/log/taler.log.","Kirjaa API-pyynnöt ja -vastaukset tiedostoon var/log/taler.log."
"Merchant Backend URL","Kauppiastaustapalvelun URL"
"Merchant backend instance ID to bill against. Leave empty for the default instance at the backend root.","Laskutettavan kauppiastaustapalvelun instanssin tunnus. Jätä tyhjäksi, jos haluat käyttää taustapalvelun juuren oletusinstanssia."
"No payment found for order.","Tilaukselle ei löytynyt maksua."
"Order #%s at %s","Tilaus nro %s kaupassa %s"
"Order Status URL","Tilauksen tilan URL"
"Order status set to ""%s"" per GNU Taler configuration.","Tilauksen tilaksi asetettu ""%s"" GNU Taler -asetusten mukaisesti."
"Paid (processing) order status","Maksetun tilauksen tila (processing)"
"Pay URI","Maksu-URI"
"Payment was not completed.","Maksua ei suoritettu loppuun."
"Pending-payment order status","Maksua odottavan tilauksen tila"
"Refund Window (days)","Hyvitysikkuna (päivää)"
"Refund for order #%s","Hyvitys tilaukselle nro %s"
"Refund window granted at order creation. After it passes, the Taler backend rejects refunds for the order.","Tilausta luotaessa myönnettävä hyvitysikkuna. Sen umpeuduttua Taler-taustapalvelu hylkää tilauksen hyvitykset."
"Refunded Total","Hyvitetty yhteensä"
"Taler API error: %s","Taler-API-virhe: %s"
"Taler Order ID","Taler-tilaustunnus"
"Taler connection error: %s","Taler-yhteysvirhe: %s"
"Taler: failed to create order. Response: %s","Taler: tilauksen luonti epäonnistui. Vastaus: %s"
"The Taler refund deadline for this order has passed.","Tämän tilauksen Taler-hyvityksen määräaika on umpeutunut."
"The configured URL does not point to a Taler merchant backend.","Määritetty URL ei osoita Taler-kauppiastaustapalveluun."
"The order is unknown to the Taler merchant backend.","Tilaus on tuntematon Taler-kauppiastaustapalvelulle."
"The refund amount exceeds the amount paid via Taler.","Hyvityksen summa ylittää Talerin kautta maksetun summan."
"Unable to initialize payment. Please try again.","Maksun alustus epäonnistui. Yritä uudelleen."
"Your payment has not been confirmed yet. If you completed the payment, your order will be processed automatically as soon as the Taler backend confirms it.","Maksuasi ei ole vielä vahvistettu. Jos suoritit maksun, tilauksesi käsitellään automaattisesti heti, kun Taler-taustapalvelu vahvistaa sen."
